order_no,order_date,customer_name,city,state,customer_type,account_manager,order_priority,product_name,product_category,product_container,ship_mode,ship_date,cost_price,retail_price,profit_margin,order_quantity,sub_total,discount_pct,discount_amt,order_total,shipping_cost,year,month,quarter,ship_delay_days,unit_margin,gross_profit_estimate,discount_pct_decimal,discount_band
5265-1,2014-12-09,Linda Southworth,Sydney,NSW,Corporate,Phoebe Gour,Low,Deluxe Rollaway Locking File with Drawer,Technology,Small Box,Regular Air,2014-12-11,178.83,415.88,237.05,29,996.06,3.0,98.62,976.22,11.37,2014,12,4,2,237.05,6874.45,0.03,Low
5265-1,2014-02-24,Pauline Chand,Sydney,NSW,Corporate,Samantha Chairs,High,Artisan Hole Reinforcements,Office Supplies,Small Box,Regular Air,2014-02-26,3.99,6.23,2.24,9,235.05,3.0,10.38,241.12,6.97,2014,2,1,2,2.24,20.16,0.03,Low
5266-1,2015-06-02,Lauren Leatherbury,Sydney,NSW,Home Office,Nicholas Fernandes,Not Specified,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,2015-06-05,1.18,1.88,0.7,8,85.74,2.0,0.7,70.96,1.49,2015,6,2,3,0.7,5.6,0.02,Low
5266-1,2013-07-30,Corinna Mitchell,Sydney,NSW,Corporate,Nicholas Fernandes,High,HFX LaserJet 3310 Copier,Technology,Small Box,Regular Air,2013-07-31,377.99,599.99,222.0,41,12599.77,3.0,1393.98,13949.75,24.49,2013,7,3,1,222.0,9102.0,0.03,Low
5266-1,2014-07-26,Victoria Wilson,Sydney,NSW,Corporate,Natasha Song,Not Specified,Cando PC940 Copier,Office Supplies,Small Box,Regular Air,2014-08-02,278.99,449.99,171.0,24,14599.67,4.0,1059.94,14947.67,49.0,2014,7,3,7,171.0,4104.0,0.04,Low
5266-1,2014-03-21,Justin Ellison,Sydney,NSW,Small Business,Charlie Bui,High,Smiths General Use 3-Ring Binders,Technology,Small Box,Regular Air,2014-03-26,1.18,1.88,0.7,10,5.6,3.0,0.16,5.04,1.49,2014,3,1,5,0.7,7.0,0.03,Low
5267-1,2013-05-22,Thais Sissman,Sydney,NSW,Home Office,Tina Carlton,Not Specified,Smiths Standard Envelopes,Technology,Jumbo Drum,Delivery Truck,2013-05-23,3.52,5.68,2.16,31,15.96,6.0,1.36,16.25,1.39,2013,5,2,1,2.16,66.96,0.06,Medium
5267-1,2015-12-09,Vivek Grady,Melbourne,VIC,Consumer,Connor Betts,High,Artisan Binder Labels,Office Supplies,Small Box,Regular Air,2015-12-10,2.45,3.89,1.44,42,152.98,0.0,12.42,143.68,7.01,2015,12,4,1,1.44,60.48,0.0,No Discount
5268-1,2013-02-17,Olvera Toch,Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,Office Supplies,Wrap Bag,Regular Air,2013-02-22,1.84,2.88,1.04,11,12.2,9.0,1.22,12.08,0.99,2013,2,1,5,1.04,11.44,0.09,Medium
5269-1,2013-09-03,Rob Haberlin,Melbourne,VIC,Small Business,Connor Betts,Medium,"Artisan Flip-Chart Easel Binder, Black",Technology,Small Box,Regular Air,2013-09-05,13.88,22.38,8.5,24,336.1,6.0,3.36,334.84,15.1,2013,9,3,2,8.5,204.0,0.06,Medium
5269-1,2015-07-12,Bryan Spruell,Sydney,NSW,Small Business,Charlie Bui,Critical,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2015-07-14,1.94,3.08,1.14,50,16.98,9.0,0.51,16.47,0.99,2015,7,3,2,1.14,57.0,0.09,Medium
5269-1,2013-10-11,Amy Cox,Sydney,NSW,Small Business,Aanya Zhang,Low,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2013-10-12,4.53,7.3,2.77,40,273.52,5.0,8.47,267.51,7.72,2013,10,4,1,2.77,110.8,0.05,Low
5270-1,2015-06-17,Lauren Leatherbury,Sydney,NSW,Small Business,Nicholas Fernandes,Critical,Steady Liquid Accent Highlighters,Office Supplies,Small Box,Regular Air,2015-06-19,3.47,6.68,3.21,6,65.9,3.0,5.45,59.56,1.5,2015,6,2,2,3.21,19.26,0.03,Low
5270-1,2015-03-18,Erin Creighton,Sydney,NSW,Corporate,Aanya Zhang,Critical,Artisan Durable Poly Binders,Office Supplies,Wrap Bag,Regular Air,2015-03-21,3.37,5.53,2.16,7,253.98,3.0,7.9,243.0,6.98,2015,3,1,3,2.16,15.12,0.03,Low
5271-1,2013-08-17,Valerie Dominguez,Sydney,NSW,Small Business,Tina Carlton,Not Specified,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Small Box,Regular Air,2013-08-17,1.31,2.84,1.53,18,36.2,2.0,3.35,35.59,0.93,2013,8,3,0,1.53,27.54,0.02,Low
5271-1,2013-08-29,Nancy Lomonaco,Sydney,NSW,Consumer,Aanya Zhang,Low,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-09-03,3.65,5.98,2.33,9,141.44,4.0,4.49,136.12,1.49,2013,8,3,5,2.33,20.97,0.04,Low
5272-1,2013-10-11,Amy Cox,Sydney,NSW,Corporate,Mihael Khan,Medium,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013-10-12,1.09,1.68,0.59,23,63.84,1.0,4.47,59.37,1.0,2013,10,4,1,0.59,13.57,0.01,Low
5272-1,2013-09-13,Naresj Patel,Sydney,NSW,Corporate,Leighton Forrest,Medium,Fluorescent Highlighters by DrawIt,Office Supplies,Small Box,Regular Air,2013-09-15,1.95,3.98,2.03,1,63.84,0.0,4.35,52.39,0.83,2013,9,3,2,2.03,2.03,0.0,No Discount
5272-1,2013-10-11,Amy Cox,Sydney,NSW,Small Business,Aanya Zhang,Medium,Smiths Metal Binder Clips,Office Supplies,Wrap Bag,Regular Air,2013-10-12,1.6,2.62,1.02,35,63.84,4.0,4.47,59.97,0.8,2013,10,4,1,1.02,35.7,0.04,Low
5272-1,2013-03-07,Sean ODonnell,Melbourne,VIC,Consumer,Yvette Biti,High,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-03-10,3.65,5.98,2.33,42,183.88,10.0,38.22,184.02,1.49,2013,3,1,3,2.33,97.86,0.1,Medium
5272-1,2013-10-11,Amy Cox,Sydney,NSW,Consumer,Aanya Zhang,Medium,Pizazz Dustless Chalk Sticks,Technology,Small Box,Regular Air,2013-10-12,1.09,1.68,0.59,14,63.84,4.0,4.47,59.67,1.0,2013,10,4,1,0.59,8.26,0.04,Low
5272-1,2013-10-11,Amy Cox,Sydney,NSW,Corporate,Aanya Zhang,High,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,2013-10-12,1.09,1.68,0.59,16,63.84,10.0,4.47,59.37,1.0,2013,10,4,1,0.59,9.44,0.1,Medium
5274-1,2013-05-26,Arianne Iaven,Melbourne,VIC,Small Business,Connor Betts,Low,Smiths SlimLine Pencil Sharpener,Technology,Small Box,Regular Air,2013-05-27,4.79,11.97,7.18,8,227.0,0.0,2.63,216.51,5.81,2013,5,2,1,7.18,57.44,0.0,No Discount
5274-1,2015-05-18,Sibella Parks,Melbourne,VIC,Corporate,Connor Betts,High,Apex Straight Scissors,Office Supplies,Small Box,Regular Air,2015-05-18,5.19,12.98,7.79,50,269.32,5.0,18.84,261.2,3.14,2015,5,2,0,7.79,389.5,0.05,Low
5274-1,2014-10-07,Cindy Chapman,Sydney,NSW,Small Business,Tina Carlton,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Wrap Bag,Regular Air,2014-10-02,13.88,22.38,8.5,41,573.56,2.0,0.0,535.08,15.1,2014,10,4,-5,8.5,348.5,0.02,Low
5274-1,2014-10-06,Eric Barreto,Sydney,NSW,Consumer,Phoebe Gour,Low,Wirebound Voice Message Log Book,Office Supplies,Small Box,Express Air,2014-10-02,2.9,4.76,1.86,34,129.4,3.0,5.95,126.81,0.88,2014,10,4,-4,1.86,63.24,0.03,Low
5274-1,2013-10-13,Sylvia Foulston,Sydney,NSW,Consumer,Tina Carlton,Low,300 Series Non-Flip,Office Supplies,Wrap Bag,Express Air,2013-10-13,62.4,155.99,93.59,12,7487.52,1.0,299.5,7188.02,8.08,2013,10,4,0,93.59,1123.08,0.01,Low
5274-1,2013-09-20,Ann Chong,Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Wrap Bag,Regular Air,2013-09-21,13.88,22.38,8.5,11,406.7,1.0,40.67,366.03,15.1,2013,9,3,1,8.5,93.5,0.01,Low
5274-1,2014-01-14,Fred Wasserman,Sydney,NSW,Corporate,Leighton Forrest,High,Smiths Standard Envelopes,Office Supplies,Wrap Bag,Regular Air,2014-01-17,3.52,5.68,2.16,33,125.0,5.0,12.35,129.05,1.39,2014,1,1,3,2.16,71.28,0.05,Low
5274-1,2015-05-19,Carlos Meador,Sydney,NSW,Corporate,Tina Carlton,High,Apex Straight Scissors,Office Supplies,Small Pack,Regular Air,2015-05-20,5.19,12.98,7.79,11,239.6,3.0,2.69,232.67,3.14,2015,5,2,1,7.79,85.69,0.03,Low
5274-1,2013-10-13,Sylvia Foulston,Sydney,NSW,Home Office,Tina Carlton,Medium,300 Series Non-Flip,Office Supplies,Small Box,Regular Air,2013-10-13,62.4,155.99,93.59,50,7487.52,7.0,299.5,7188.02,8.08,2013,10,4,0,93.59,4679.5,0.07,Medium
5276-2,2016-01-17,Cyra Reiten,Sydney,NSW,Small Business,Nicholas Fernandes,Critical,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Regular Air,2016-01-17,2.52,4.0,1.48,16,130.68,1.0,12.04,113.48,1.3,2016,1,1,0,1.48,23.68,0.01,Low
5277-1,2013-10-20,Paul MacIntyre,Melbourne,VIC,Small Business,Yvette Biti,Critical,12 Colored Short,Office Supplies,Small Box,Regular Air,2013-10-22,21.56,36.55,14.99,6,93.6,2.0,0.0,93.6,13.89,2013,10,4,2,14.99,89.94,0.02,Low
5277-1,2013-05-09,Thea Hudgings,Melbourne,VIC,Small Business,Connor Betts,Critical,EcoTones Memo Sheets,Office Supplies,Wrap Bag,Regular Air,2013-05-11,2.52,4.0,1.48,24,160.97,7.0,12.04,152.76,1.3,2013,5,2,2,1.48,35.52,0.07,Medium
5277-1,2013-02-14,Muhammed Yedwab,Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Regular Air,2013-02-15,1.17,2.78,1.61,18,16.2,2.0,1.28,14.82,1.2,2013,2,1,1,1.61,28.98,0.02,Low
5277-1,2013-05-26,Luzen McCrida,Sydney,NSW,Corporate,Phoebe Gour,Low,12 Ellic Surge Strip,Technology,Medium Box,Regular Air,2013-05-28,4.46,10.89,6.43,47,93.6,3.0,0.0,93.6,4.5,2013,5,2,2,6.43,302.21,0.03,Low
5277-1,2013-10-20,Jonit MacIntyre,Sydney,NSW,Corporate,Mihael Khan,Medium,12 Colored Short Pencils with Erasers,Office Supplies,Small Pack,Regular Air,2013-10-22,2.68,6.08,3.4,30,93.6,8.0,0.0,93.6,1.17,2013,10,4,2,3.4,102.0,0.08,Medium
5277-1,2013-10-20,Paul MacIntyre,Melbourne,VIC,Corporate,Yvette Biti,Low,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2013-10-22,1.09,2.6,1.51,19,93.6,0.0,0.0,93.6,2.4,2013,10,4,2,1.51,28.69,0.0,No Discount
5277-1,2013-10-20,Tamara Willingham,Sydney,NSW,Corporate,Phoebe Gour,Critical,12 Colored Short Pencils,Office Supplies,Small Box,Regular Air,2013-10-21,1.09,2.6,1.51,19,93.6,0.0,0.0,93.6,2.4,2013,10,4,1,1.51,28.69,0.0,No Discount
5277-1,2013-10-20,Roy Skaria,Sydney,NSW,Home Office,Samantha Chairs,High,12 Colored Short Pencils,Office Supplies,Small Box,Regular Air,2013-10-21,1.09,2.6,1.51,22,93.6,7.0,0.0,93.6,2.4,2013,10,4,1,1.51,33.22,0.07,Medium
5277-1,2013-10-20,Tamara Willingham,Sydney,NSW,Consumer,Phoebe Gour,High,12 Colored Short Pencils,Office Supplies,Small Pack,Regular Air,2013-10-21,1.09,2.6,1.51,26,93.6,8.0,0.0,93.6,2.4,2013,10,4,1,1.51,39.26,0.08,Medium
5277-1,2013-10-20,Tamara Willingham,Sydney,NSW,Consumer,Phoebe Gour,Medium,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2013-10-21,1.09,2.6,1.51,30,93.6,9.0,0.0,93.6,2.4,2013,10,4,1,1.51,45.3,0.09,Medium
5278-1,2016-06-14,Vivek Grady,Melbourne,VIC,Small Business,Connor Betts,Medium,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,2016-06-14,3.99,6.23,2.24,35,12.2,4.0,0.54,123.36,6.97,2016,6,2,0,2.24,78.4,0.04,Low
5278-1,2013-03-27,Erica Smith,Sydney,NSW,Corporate,Tina Carlton,Low,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,2013-03-27,3.99,6.23,2.24,42,141.32,8.0,8.12,126.0,6.97,2013,3,1,0,2.24,94.08,0.08,Medium
5278-1,2014-09-29,Christopher Martinez,Sydney,NSW,Home Office,Tina Carlton,Low,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2014-09-29,1.84,2.88,1.04,1,137.24,3.0,1.38,127.12,0.99,2014,9,3,0,1.04,1.04,0.03,Low
5278-1,2014-03-31,Roland Murray,Sydney,NSW,Consumer,Nicholas Fernandes,High,Smiths Standard Envelopes,Office Supplies,Small Box,Regular Air,2014-03-31,3.52,5.68,2.16,50,95.84,7.0,0.92,95.61,1.39,2014,3,1,0,2.16,108.0,0.07,Medium
5278-1,2013-10-28,Toby Knight,Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Artisan 474 Labels,Office Supplies,Wrap Bag,Regular Air,2013-10-29,1.84,2.88,1.04,48,2.61,10.0,0.16,2.45,0.99,2013,10,4,1,1.04,49.92,0.1,Medium
5279-1,2015-08-02,Nora Pelletier,Sydney,NSW,Corporate,Nicholas Fernandes,Low,Artisan Binder Labels,Technology,Jumbo Drum,Delivery Truck,2015-08-04,2.45,3.89,1.44,35,19.82,8.0,0.39,18.51,7.01,2015,8,3,2,1.44,50.4,0.08,Medium
5279-1,2015-07-27,Michael Oakman,Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan Hanging File Binders,Office Supplies,Wrap Bag,Express Air,2015-08-01,3.65,5.98,2.33,11,133.42,9.0,14.29,122.79,1.49,2015,7,3,5,2.33,25.63,0.09,Medium
5279-1,2013-03-27,Erica Smith,Sydney,NSW,Corporate,Tina Carlton,Not Specified,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2013-03-27,2.5,5.68,3.18,41,271.32,2.0,8.17,264.99,3.6,2013,3,1,0,3.18,130.38,0.02,Low
5279-1,2016-02-13,Pete Armstrong,Melbourne,VIC,Corporate,Connor Betts,Low,Binder Posts,Office Supplies,Small Pack,Regular Air,2016-02-16,3.5,5.74,2.24,49,157.56,10.0,9.45,124.07,5.01,2016,2,1,3,2.24,109.76,0.1,Medium
5279-1,2013-11-16,Liz Carlisle,Sydney,NSW,Consumer,Samantha Chairs,High,Artisan 487 Labels,Office Supplies,Small Box,Regular Air,2013-11-16,2.29,3.69,1.4,7,154.98,9.0,6.2,148.78,0.5,2013,11,4,0,1.4,9.8,0.09,Medium
5280-1,2013-10-21,Tony Sayre,Melbourne,VIC,Corporate,Yvette Biti,Low,Artisan Hanging File Binders,Office Supplies,Wrap Bag,Regular Air,2013-10-23,3.65,5.98,2.33,41,239.2,3.0,0.0,239.2,1.49,2013,10,4,2,2.33,95.53,0.03,Low
5280-1,2013-10-21,Darrin Sayre,Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Artisan Durable Binders,Office Supplies,Small Box,Regular Air,2013-10-23,1.84,2.88,1.04,31,239.2,8.0,0.0,239.2,1.49,2013,10,4,2,1.04,32.24,0.08,Medium
5280-1,2014-07-25,Philip Brown,Melbourne,VIC,Corporate,Yvette Biti,Medium,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Small Box,Regular Air,2014-07-27,8.92,29.74,20.82,4,446.97,10.0,18.48,491.04,6.64,2014,7,3,2,20.82,83.28,0.1,Medium
5280-1,2013-10-21,Darrin Sayre,Sydney,NSW,Corporate,Phoebe Gour,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-10-23,3.65,5.98,2.33,23,239.2,7.0,0.0,239.2,1.49,2013,10,4,2,2.33,53.59,0.07,Medium
5280-1,2013-08-09,Aaron Bergman,Sydney,NSW,Small Business,Natasha Song,Critical,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2013-08-16,2.5,5.68,3.18,25,273.72,9.0,28.97,265.35,3.6,2013,8,3,7,3.18,79.5,0.09,Medium
5280-1,2013-10-21,Benjamin Farhat,Sydney,NSW,Home Office,Tina Carlton,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-10-22,3.65,5.98,2.33,19,239.2,1.0,0.0,239.2,1.49,2013,10,4,1,2.33,44.27,0.01,Low
5280-1,2013-07-22,Rick Hansen,Sydney,NSW,Consumer,Nicholas Fernandes,Not Specified,Economy Binders,Office Supplies,Small Box,Regular Air,2013-07-23,1.33,2.08,0.75,39,22.88,9.0,0.23,22.65,1.49,2013,7,3,1,0.75,29.25,0.09,Medium
5280-1,2013-10-21,Darrin Sayre,Sydney,NSW,Home Office,Phoebe Gour,High,Artisan Hanging File Binders,Technology,Small Box,Regular Air,2013-10-23,3.65,5.98,2.33,2,239.2,3.0,0.0,239.2,1.49,2013,10,4,2,2.33,4.66,0.03,Low
5280-1,2013-10-21,Darrin Sayre,Sydney,NSW,Home Office,Phoebe Gour,Low,Artisan Durable Poly Binders,Technology,Small Box,Regular Air,2013-10-23,3.37,5.53,2.16,29,239.2,4.0,0.0,239.2,6.98,2013,10,4,2,2.16,62.64,0.04,Low
5280-1,2013-07-16,George Zrebassa,Sydney,NSW,Corporate,Samantha Chairs,High,Artisan Durable Poly Binders,Office Supplies,Small Pack,Regular Air,2013-07-17,3.37,5.53,2.16,39,264.0,4.0,7.3,246.18,6.98,2013,7,3,1,2.16,84.24,0.04,Low
5280-1,2013-10-21,Tony Sayre,Melbourne,VIC,Consumer,Yvette Biti,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-10-23,3.65,5.98,2.33,20,239.2,10.0,0.0,239.2,1.49,2013,10,4,2,2.33,46.6,0.1,Medium
5280-1,2013-10-21,Kelly Lampkin,Sydney,NSW,Corporate,Eanya Zhang,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-10-22,3.65,5.98,2.33,7,239.2,8.0,0.0,239.2,1.49,2013,10,4,1,2.33,16.31,0.08,Medium
5280-1,2015-04-15,Peel Damper,Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Alto Perma 2700 Stacking Storage Drawers,Technology,Small Pack,Regular Air,2015-04-17,8.92,29.74,20.82,11,427.28,4.0,26.54,407.05,6.64,2015,4,2,2,20.82,229.02,0.04,Low
5280-1,2013-10-21,Darrin Sayre,Sydney,NSW,Corporate,Phoebe Gour,Medium,Artisan Hanging File Binders,Office Supplies,Wrap Bag,Regular Air,2013-10-23,3.65,5.98,2.33,34,239.2,0.0,0.0,239.2,1.49,2013,10,4,2,2.33,79.22,0.0,No Discount
5280-1,2013-10-21,Darrin Sayre,Sydney,NSW,Home Office,Phoebe Gour,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-10-23,3.65,5.98,2.33,18,239.2,5.0,0.0,239.2,1.49,2013,10,4,2,2.33,41.94,0.05,Low
5281-1,2015-05-01,Chad McGuire,Sydney,NSW,Consumer,Samantha Chairs,High,TechSavi Access Keyboard,Office Supplies,Small Box,Regular Air,2015-05-02,10.07,15.98,5.91,9,481.78,0.0,23.53,487.05,4.0,2015,5,2,1,5.91,53.19,0.0,No Discount
5281-1,2013-10-20,Tamara Willingham,Sydney,NSW,Consumer,Phoebe Gour,Critical,Binder Clips by OIC,Office Supplies,Wrap Bag,Regular Air,2013-10-21,0.93,1.48,0.55,22,2.64,4.0,0.16,2.15,0.7,2013,10,4,1,0.55,12.1,0.04,Low
5281-1,2013-02-17,Olvera Toch,Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Self-Adhesive Ring Binder Labels,Office Supplies,Wrap Bag,Regular Air,2013-02-22,2.18,3.52,1.34,27,13.8,0.0,1.29,13.36,6.83,2013,2,1,5,1.34,36.18,0.0,No Discount
5282-1,2013-10-21,Amy Cox,Sydney,NSW,Corporate,Aanya Zhang,Critical,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Express Air,2013-10-23,1.18,1.88,0.7,39,62.04,7.0,4.34,57.7,1.49,2013,10,4,2,0.7,27.3,0.07,Medium
5282-1,2015-01-01,Michael Oakman,Melbourne,VIC,Corporate,Connor Betts,High,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,2015-01-03,3.84,6.3,2.46,10,239.4,4.0,2.69,231.04,0.5,2015,1,1,2,2.46,24.6,0.04,Low
5282-1,2013-10-21,Amy Cox,Sydney,NSW,Corporate,Aanya Zhang,Critical,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,Regular Air,2013-10-23,1.18,1.88,0.7,39,62.04,7.0,4.34,57.72,1.49,2013,10,4,2,0.7,27.3,0.07,Medium
5282-1,2013-10-11,Stephanie Ulpright,Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013-10-12,1.09,1.68,0.59,33,63.84,8.0,4.47,59.37,1.0,2013,10,4,1,0.59,19.47,0.08,Medium
5282-1,2013-06-10,Nora Paige,Sydney,NSW,Small Business,Mihael Khan,Low,Binder Posts,Technology,Jumbo Drum,Delivery Truck,2013-06-12,3.5,5.74,2.24,47,1325.0,10.0,122.31,1328.05,5.01,2013,6,2,2,2.24,105.28,0.1,Medium
5283-1,2013-09-10,Matthew Clasen,Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan 481 Labels,Office Supplies,Small Box,Regular Air,2013-09-14,1.94,3.08,1.14,38,83.84,10.0,2.93,71.44,0.99,2013,9,3,4,1.14,43.32,0.1,Medium
5284-1,2013-07-22,Brad Thomas,Sydney,NSW,Corporate,Tina Carlton,Low,Smiths Standard Envelopes,Office Supplies,Wrap Bag,Regular Air,2013-07-29,3.52,5.68,2.16,39,226.1,5.0,2.63,215.81,1.39,2013,7,3,7,2.16,84.24,0.05,Low
5284-1,2013-06-09,Fley Castell,Sydney,NSW,Corporate,Leighton Forrest,Low,Artisan Hi-Liter Smear-Safe Highlighters,Technology,Small Box,Regular Air,2013-06-09,2.98,5.84,2.86,8,225.12,1.0,8.26,213.88,0.83,2013,6,2,0,2.86,22.88,0.01,Low
5284-1,2015-02-01,Custer Chalkon,Sydney,NSW,Corporate,Tina Carlton,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Wrap Bag,Regular Air,2015-02-03,2.26,3.58,1.32,42,239.7,5.0,2.69,213.09,5.47,2015,2,1,2,1.32,55.44,0.05,Low
5284-1,2015-07-17,Tony Sayre,Melbourne,VIC,Corporate,Yvette Biti,High,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Regular Air,2015-07-19,4.53,7.3,2.77,23,278.5,2.0,27.65,250.59,7.72,2015,7,3,2,2.77,63.71,0.02,Low
5284-1,2015-05-22,Thomas Boland,Sydney,NSW,Home Office,Mihael Khan,Medium,Artisan 474 Labels,Office Supplies,Wrap Bag,Express Air,2015-05-24,1.84,2.88,1.04,5,31.68,8.0,2.15,20.83,0.99,2015,5,2,2,1.04,5.2,0.08,Medium
5284-1,2013-12-08,Bel Wallans,Melbourne,VIC,Small Business,Connor Betts,Not Specified,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,2013-12-10,3.84,6.3,2.46,27,207.93,3.0,23.25,215.09,0.5,2013,12,4,2,2.46,66.42,0.03,Low
5284-1,2013-10-28,Paul Prost,Melbourne,VIC,Consumer,Yvette Biti,Low,13 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2013-10-29,1.09,2.6,1.51,44,43.2,1.0,3.46,39.74,2.4,2013,10,4,1,1.51,66.44,0.01,Low
5284-1,2014-12-01,Jesus Ocampo,Melbourne,VIC,Consumer,Yvette Biti,Not Specified,Artisan 474 Labels,Technology,Small Pack,Regular Air,2014-12-08,1.84,2.88,1.04,21,27.92,1.0,0.75,26.13,0.99,2014,12,4,7,1.04,21.84,0.01,Low
5285-1,2013-09-03,Rob Haberlin,Melbourne,VIC,Small Business,Connor Betts,Not Specified,Artisan 48 Labels,Office Supplies,Small Pack,Regular Air,2013-09-05,3.84,6.3,2.46,8,129.24,8.0,3.96,126.72,0.5,2013,9,3,2,2.46,19.68,0.08,Medium
5285-1,2014-10-17,Sam Craven,Melbourne,VIC,Small Business,Connor Betts,High,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Express Air,2014-10-19,2.98,5.84,2.86,29,43.46,3.0,2.56,42.14,0.83,2014,10,4,2,2.86,82.94,0.03,Low
5285-1,2014-09-27,Cindy Chapman,Sydney,NSW,Corporate,Tina Carlton,Not Specified,Artisan Binder Labels,Office Supplies,Small Box,Regular Air,2014-10-02,2.45,3.89,1.44,19,306.94,10.0,0.0,208.43,7.01,2014,9,3,5,1.44,27.36,0.1,Medium
5285-1,2013-09-26,Tamara Dhonney,Sydney,NSW,Home Office,Samantha Chairs,Medium,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Pack,Regular Air,2013-10-02,4.59,7.28,2.69,22,255.08,7.0,23.13,227.51,11.15,2013,9,3,6,2.69,59.18,0.07,Medium
5285-1,2013-07-30,Corinna Mitchell,Sydney,NSW,Consumer,Nicholas Fernandes,Critical,Desktop 3-Pocket Hot File,Technology,Jumbo Drum,Delivery Truck,2013-07-31,22.18,54.1,31.92,42,2262.2,7.0,37.68,2206.08,19.99,2013,7,3,1,31.92,1340.64,0.07,Medium
5286-1,2016-05-10,Roy Collins,Sydney,NSW,Home Office,Natasha Song,Low,Wirebound Voice Message Log Book,Technology,Small Box,Regular Air,2016-05-12,2.9,4.76,1.86,14,35.94,3.0,1.35,36.55,0.88,2016,5,2,2,1.86,26.04,0.03,Low
5286-1,2015-01-13,Max Jones,Melbourne,VIC,Small Business,Connor Betts,Medium,OIC Thumb-Tacks,Office Supplies,Small Box,Express Air,2015-01-15,0.71,1.14,0.43,27,16.95,10.0,1.69,16.25,0.7,2015,1,1,2,0.43,11.61,0.1,Medium
5286-1,2013-04-19,Craig Carroll,Melbourne,VIC,Corporate,Connor Betts,High,12 Colored Short Pencils,Office Supplies,Wrap Bag,Regular Air,2013-04-20,1.09,2.6,1.51,14,53.88,8.0,3.43,50.67,2.4,2013,4,2,1,1.51,21.14,0.08,Medium
5286-1,2014-12-28,Tim Taslimi,Sydney,NSW,Home Office,Tina Carlton,Low,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Wrap Bag,Express Air,2014-12-28,4.53,7.3,2.77,43,270.9,1.0,10.8,275.1,7.72,2014,12,4,0,2.77,119.11,0.01,Low
5286-1,2013-10-26,Tamara Wizlingham,Sydney,NSW,Home Office,Phoebe Gour,Not Specified,Binding Machine Supplies,Technology,Small Box,Regular Air,2013-10-28,18.38,29.17,10.79,18,330.66,10.0,3.06,305.64,6.27,2013,10,4,2,10.79,194.22,0.1,Medium
